DateTime,Indoor_temperature,Indoor_humidity,Outdoor_temperature,Outdoor_humidity,Mechanical_ventilation,Storage_heaters
2012-03-13 11:45,19.351752971904762,52.526173001255415,17.0,48.375,1,1
2012-03-13 12:00,21.347980052238096,55.4319941021342,17.21,47.808,0,1
2012-03-13 12:15,22.74533900847143,57.46606887274935,17.46,47.432,0,1
2012-03-13 12:30,23.723490277834763,58.89357998717995,17.66,47.024,0,1
2012-03-13 12:45,24.408196166389097,59.90892130692423,17.87,45.4743,0,1
2012-03-13 13:00,24.88749028837713,60.619660230745225,18.0,45.5467,0,1
2012-03-13 13:15,25.222996173768752,61.11717747741993,18.24,44.968,0,1
2012-03-13 13:30,25.45785029354289,61.46543955009221,18.47,45.1813,0,1
2012-03-13 13:45,25.622248177384787,61.70922300096282,18.64,45.416,0,1
2012-03-13 14:00,25.737326696074113,61.87987141657224,18.82,45.0213,0,1
2012-03-13 14:15,25.81788165915664,61.999325307498836,18.96,44.36,0,1
2012-03-13 14:30,25.87427013331441,62.08294303114745,19.09,44.7947,0,1
2012-03-13 14:45,25.91737115558199,62.14147543770149,19.28,43.984,0,1
2012-03-13 15:00,25.947541871169296,62.1824481222893,19.42,44.5467,0,1
2012-03-13 15:15,25.968661372080412,62.21112900150078,19.55,44.7813,0,1
2012-03-13 15:30,25.98344502271819,62.23120561694881,19.72,45.6773,0,1
2012-03-13 15:45,25.643793578164637,62.245259247762434,19.82,45.5173,0,0
2012-03-13 16:00,25.406037566977147,62.25509678933197,19.92,45.2373,0,0
2012-03-13 16:15,25.239608359145905,62.26198306843065,20.03,45.0747,0,0
2012-03-13 16:30,25.123107913664036,62.26680346379972,20.12,45.072,0,0
2012-03-13 16:45,25.041557601826728,62.27017774055807,20.21,44.128,0,0
2012-03-13 17:00,24.984472383540613,62.27253973428891,20.26,43.2747,0,0
2012-03-13 17:15,24.944512730740332,62.27419312990051,20.25,43.6107,0,0
2012-03-13 17:30,24.916540973780137,62.27535050682863,20.31,45.8293,0,0
2012-03-13 17:45,21.616382062261902,51.63192531589827,20.23,47.0693,1,0
2012-03-13 18:00,22.586849505845237,54.82576303702706,20.23,49.5467,0,0
2012-03-13 18:15,23.26617671635357,57.04170712717435,20.21,52.2027,0,0
2012-03-13 18:30,23.7417057637094,58.592867990277455,20.21,53.8053,0,0
