DateTime,Indoor_temperature,Indoor_humidity,Outdoor_temperature,Outdoor_humidity,Mechanical_ventilation,Storage_heaters
2012-03-13 11:45,19.31569375991821,52.51310806274414,17.0,48.375,1,1
2012-03-13 12:00,21.287124757766723,55.41334281921386,17.21,47.808,0,1
2012-03-13 12:15,22.668241301536558,57.44350714874267,17.46,47.432,0,1
2012-03-13 12:30,23.63463282938003,58.864622179412834,17.66,47.024,0,1
2012-03-13 12:45,24.311174609746928,59.89072136543273,17.87,45.4743,0,1
2012-03-13 13:00,24.782061156571384,60.60899079564666,18.0,45.5467,0,1
2012-03-13 13:15,25.112088958281607,61.11177939679641,18.24,44.968,0,1
2012-03-13 13:30,25.342752698958744,61.46373141760123,18.47,45.1813,0,1
2012-03-13 13:45,25.5068337229198,61.71009783216461,18.64,45.416,0,1
2012-03-13 14:00,25.621680426112217,61.88255432235897,18.82,45.0213,0,1
2012-03-13 14:15,25.70207311834691,62.003273865495025,18.96,44.36,0,1
2012-03-13 14:30,25.758348002911195,62.087777545690265,19.09,44.7947,0,1
2012-03-13 14:45,25.806772671556878,62.146930121826934,19.28,43.984,0,1
2012-03-13 15:00,25.840661356540007,62.18742711982475,19.42,44.5467,0,1
2012-03-13 15:15,25.8643834360282,62.215775018423216,19.55,44.7813,0,1
2012-03-13 15:30,25.880988891669933,62.235618547442144,19.72,45.6773,0,1
2012-03-13 15:45,25.542612710619146,62.24950901775539,19.82,45.5173,0,0
2012-03-13 16:00,25.305749383883597,62.25923234697467,19.92,45.2373,0,0
2012-03-13 16:15,25.139945055168713,62.26603867742816,20.03,45.0747,0,0
2012-03-13 16:30,25.023882025068293,62.27080310874561,20.12,45.072,0,0
2012-03-13 16:45,24.942637903997998,62.27413821066782,20.21,44.128,0,0
2012-03-13 17:00,24.885767019248792,62.27647278201337,20.26,43.2747,0,0
2012-03-13 17:15,24.845957399924348,62.278106981955254,20.25,43.6107,0,0
2012-03-13 17:30,24.81809066639724,62.279250921914574,20.31,45.8293,0,0
2012-03-13 17:45,21.586920486450197,51.6330860345459,20.23,47.0693,1,0
2012-03-13 18:00,22.536296096038818,54.827736258728024,20.23,49.5467,0,0
2012-03-13 18:15,23.20124239982605,57.029113638555906,20.21,52.2027,0,0
2012-03-13 18:30,23.66670481247711,58.57007780443542,20.21,53.8053,0,0
2012-03-13 18:45,23.992528501332853,59.64875272055108,20.18,54.928,0,0
